IdCompra,Fecha,Fecha_Año,Fecha_Mes,Fecha_Periodo,IdProducto,Cantidad,Precio,IdProveedor,MinPrecio,MaxPrecio,MinCantidad,MaxCantidad,Calidad_Precio,Calidad_Cantidad,Compra
1,2015-01-30,2015,1,201501,42832,13,560.51,12,423.275,697.745,0.0,20.125,Sin errores,Sin errores,7286.63
2,2015-01-30,2015,1,201501,42833,11,497.58,7,474.70625000000007,730.1637499999998,0.0,18.5,Sin errores,Sin errores,5473.38
3,2015-01-30,2015,1,201501,42834,1,588.5,6,463.36250000000007,690.3575,0.0,18.5,Sin errores,Sin errores,588.5
4,2015-01-30,2015,1,201501,42835,9,567.66,14,509.0187500000002,653.1312499999999,0.0,18.0,Sin errores,Sin errores,5108.94
5,2015-01-30,2015,1,201501,42839,14,231.31,2,195.905,310.08500000000004,0.0,22.0,Sin errores,Sin errores,3238.34
6,2015-01-30,2015,1,201501,42840,14,232.07,13,175.88750000000005,303.01249999999993,0.0,20.0,Sin errores,Sin errores,3248.98
7,2015-01-30,2015,1,201501,42841,8,236.98,4,198.71500000000003,297.68499999999995,0.0,15.0,Sin errores,Sin errores,1895.84
8,2015-01-30,2015,1,201501,42842,4,255.33,4,198.64750000000004,316.9525,0.0,17.5,Sin errores,Sin errores,1021.32
9,2015-01-30,2015,1,201501,42845,5,578.61,12,452.8150000000001,701.665,0.0,23.5,Sin errores,Sin errores,2893.05
10,2015-01-30,2015,1,201501,42855,1,809.04,6,680.04,932.46,0.0,15.0,Sin errores,Sin errores,809.04
11,2015-01-30,2015,1,201501,42857,8,379.77,3,285.095,452.885,0.0,16.25,Sin errores,Sin errores,3038.16
12,2015-01-30,2015,1,201501,42858,11,365.37,7,265.7249999999999,441.67500000000007,0.0,21.5,Sin errores,Sin errores,4019.07
13,2015-01-30,2015,1,201501,42860,5,447.15,11,338.86125000000004,467.9587499999999,0.0,16.75,Sin errores,Sin errores,2235.75
14,2015-01-30,2015,1,201501,42862,4,310.02,6,273.9787500000001,422.98124999999993,0.0,13.25,Sin errores,Sin errores,1240.08
15,2015-01-30,2015,1,201501,42984,7,173.64,2,132.98249999999996,233.6775,0.0,12.5,Sin errores,Sin errores,1215.48
16,2015-01-30,2015,1,201501,42907,6,316.37,5,243.06999999999994,375.31000000000006,0.0,16.5,Sin errores,Sin errores,1898.22
17,2015-01-30,2015,1,201501,42908,4,1081.16,13,857.555,1164.1550000000002,0.0,15.0,Sin errores,Sin errores,4324.64
18,2015-01-30,2015,1,201501,42911,8,1409.06,7,942.745,1556.8450000000003,0.0,20.5,Sin errores,Sin errores,11272.48
19,2015-01-30,2015,1,201501,42914,4,982.0,8,835.7887500000002,1214.2312499999998,0.0,24.0,Sin errores,Sin errores,3928.0
20,2015-01-30,2015,1,201501,42915,17,1225.11,13,1014.8524999999997,1506.2975,0.0,21.375,Sin errores,Sin errores,20826.87
21,2015-01-30,2015,1,201501,42917,7,97656.3,13,78312.99999999999,110810.8,0.0,16.625,Sin errores,Sin errores,683594.1
22,2015-01-30,2015,1,201501,42923,3,505.66,14,429.14374999999995,626.4762499999999,0.0,17.625,Sin errores,Sin errores,1516.98
23,2015-01-30,2015,1,201501,42924,5,381.21,12,352.04625,550.95375,0.0,14.25,Sin errores,Sin errores,1906.05
24,2015-01-30,2015,1,201501,42934,10,1187.08,1,903.6087500000002,1564.4412499999999,0.0,21.625,Sin errores,Sin errores,11870.8
